table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Cumulative Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2020, Ranked by Percent Change: April 1, 2020 to July 1, 2022",,,,,
Rank,Geographic Area,Population Estimate,,"Change, 2020 to 2022",
268,"Hemet city, California","89,818","90,689",871,1.0
269,"Fort Smith city, Arkansas","89,141","89,992",851,1.0
270,"Wilmington city, Delaware","70,893","71,569",676,1.0
271,"Athens-Clarke County unified government (balance), Georgia","127,362","128,561","1,199",0.9
272,"Redlands city, California","73,170","73,849",679,0.9
273,"St. Charles city, Missouri","70,539","71,184",645,0.9
274,"League City city, Texas","114,377","115,418","1,041",0.9
275,"Lawrence city, Kansas","94,930","95,794",864,0.9
276,"Hesperia city, California","99,838","100,744",906,0.9
277,"Pearland city, Texas","125,815","126,949","1,134",0.9
278,"Taunton city, Massachusetts","59,400","59,922",522,0.9
279,"Lafayette city, Indiana","70,790","71,402",612,0.9
280,"High Point city, North Carolina","114,117","115,067",950,0.8
281,"Palm Desert city, California","51,167","51,583",416,0.8
282,"Hillsboro city, Oregon","106,438","107,299",861,0.8
283,"Elk Grove city, California","176,141","177,558","1,417",0.8
284,"Bristol city, Connecticut","60,845","61,330",485,0.8
285,"Ames city, Iowa","66,426","66,950",524,0.8
286,"Hanford city, California","58,013","58,470",457,0.8
287,"Davie town, Florida","105,703","106,513",810,0.8
288,"Albany city, Oregon","56,464","56,891",427,0.8
289,"Tucson city, Arizona","542,656","546,574","3,918",0.7
290,"Winston-Salem city, North Carolina","249,562","251,350","1,788",0.7
291,"Sparks city, Nevada","108,457","109,226",769,0.7
292,"Scottsdale city, Arizona","241,339","243,050","1,711",0.7
293,"Woodland city, California","61,047","61,462",415,0.7
294,"Greensboro city, North Carolina","299,101","301,115","2,014",0.7
295,"Everett city, Washington","110,602","111,337",735,0.7
296,"Moore city, Oklahoma","62,806","63,223",417,0.7
297,"Hampton city, Virginia","137,158","138,037",879,0.6
298,"Fresno city, California","542,252","545,567","3,315",0.6
299,"Anderson city, Indiana","54,773","55,099",326,0.6
300,"Bellevue city, Washington","151,864","152,767",903,0.6
301,"Boynton Beach city, Florida","80,385","80,859",474,0.6
302,"Porterville city, California","62,629","62,998",369,0.6
303,"Sacramento city, California","524,924","528,001","3,077",0.6
304,"Pharr city, Texas","79,713","80,179",466,0.6
305,"Pflugerville city, Texas","65,177","65,556",379,0.6
306,"Iowa City city, Iowa","74,823","75,233",410,0.5
307,"Stamford city, Connecticut","135,451","136,188",737,0.5
308,"Olympia city, Washington","55,371","55,669",298,0.5
309,"Collierville town, Tennessee","51,321","51,594",273,0.5
310,"Springfield city, Missouri","169,168","170,067",899,0.5
311,"Danbury city, Connecticut","86,510","86,967",457,0.5
312,"Lincoln city, Nebraska","291,105","292,627","1,522",0.5
313,"Spokane city, Washington","228,978","230,160","1,182",0.5
314,"Waterbury city, Connecticut","114,455","115,016",561,0.5
315,"Elyria city, Ohio","52,664","52,908",244,0.5
316,"Amarillo city, Texas","200,377","201,291",914,0.5
317,"Smyrna city, Georgia","55,905","56,160",255,0.5
318,"Middletown city, Ohio","50,998","51,229",231,0.5
319,"Maple Grove city, Minnesota","70,264","70,582",318,0.5
320,"Janesville city, Wisconsin","65,615","65,911",296,0.5
321,"Eau Claire city, Wisconsin","69,433","69,737",304,0.4
322,"Eugene city, Oregon","177,195","177,923",728,0.4
323,"Pontiac city, Michigan","61,601","61,854",253,0.4
324,"Springdale city, Arkansas","87,315","87,672",357,0.4
325,"Rochester city, Minnesota","121,388","121,878",490,0.4
326,"Santa Maria city, California","109,695","110,125",430,0.4
327,"Boise City city, Idaho","235,712","236,634",922,0.4
328,"Methuen Town city, Massachusetts","53,037","53,241",204,0.4
329,"Greeley city, Colorado","108,791","109,209",418,0.4
